region,biostep,year,Value
ENC,16,2025,57.45
ENC,16,2030,39.03
ENC,16,2035,39.94901789
ENC,16,2040,40.96584297
ENC,16,2045,41.95215782
ENC,16,2050,42.89668278
ENC,17,2020,44.64
ENC,17,2025,56.7
ENC,17,2030,68.76
ENC,17,2035,70.37905381
ENC,17,2040,72.17041666
ENC,17,2045,73.908029
ENC,17,2050,75.57201916
WNC,1,2020,72.16
WNC,1,2025,92.66
WNC,1,2030,113.16
WNC,1,2035,115.8245161
WNC,1,2040,118.7726054
WNC,1,2045,121.6322362
WNC,1,2050,124.3707052
WNC,2,2020,167.94
WNC,2,2025,167.165
WNC,2,2030,166.39
WNC,2,2035,170.3078936
WNC,2,2040,174.642752
WNC,2,2045,178.8475414
WNC,2,2050,182.8741749
WNC,3,2020,88.19
WNC,3,2025,95.825
WNC,3,2030,103.46
WNC,3,2035,105.8961156
WNC,3,2040,108.5914966
WNC,3,2045,111.2060017
WNC,3,2050,113.709731
WNC,4,2020,77.76
WNC,4,2025,67.675
WNC,4,2030,57.59
WNC,4,2035,58.94603998
WNC,4,2040,60.44639755
WNC,4,2045,61.90173633
WNC,4,2050,63.29541279
WNC,5,2020,164.2
WNC,5,2025,170.695
WNC,5,2030,177.19
WNC,5,2035,181.3621952
WNC,5,2040,185.9784196
WNC,5,2045,190.4561323
WNC,5,2050,194.7441256
WNC,6,2020,53.06
WNC,6,2025,53.505
WNC,6,2030,53.95
WNC,6,2035,55.22033091
WNC,6,2040,56.62585775
WNC,6,2045,57.98921123
WNC,6,2050,59.29479979
WNC,7,2020,49.13
WNC,7,2025,49.395
WNC,7,2030,49.66
WNC,7,2035,50.82931664
WNC,7,2040,52.1230787
WNC,7,2045,53.37802094
WNC,7,2050,54.57979161
WNC,8,2020,19.36
WNC,8,2025,20.58
WNC,8,2030,21.8
WNC,8,2035,22.31331258
WNC,8,2040,22.88125485
WNC,8,2045,23.43215579
WNC,8,2050,23.95971521
WNC,9,2020,15.28
WNC,9,2025,16.545
WNC,9,2030,17.81
WNC,9,2035,18.22936225
WNC,9,2040,18.69335545
WNC,9,2045,19.14342636
WNC,9,2050,19.57442788
WNC,10,2020,11.42
WNC,10,2025,15.205
WNC,10,2030,18.99
WNC,10,2035,19.43714706
WNC,10,2040,19.93188209
WNC,10,2045,20.41177241
WNC,10,2050,20.8713299
