"region","plant_type_full","year","Value"
"PAC","ngcc_X1",2020,7563.98081852632
"PAC","ngtb_X1",2020,8164.1441008
"PAC","ngtb_X2",2020,11893.8797363636
"PAC","ngtb_X3",2020,14800.3756575
"PAC","nuc_X",2020,10441.6088
"PAC","oth_X",2020,4835.281629
"PAC","slr_X",2020,8903.95995355172
"PAC","stog_X1",2020,0
"PAC","wnd_X",2020,8904.00826585484
"SAC","bio_X",2020,9489.72943310417
"SAC","col_X1",2020,6030.25508306122
"SAC","col_X2",2020,10795.83874125
"SAC","col_X3",2020,18208.4655944
"SAC","hyd_X",2020,8904.02658178788
"SAC","msw_X",2020,13360.8595122727
"SAC","ngcc_X1",2020,7364.945634525
"SAC","ngcc_X2",2020,12096.48439
"SAC","ngcc_X3",2020,21676.58445
"SAC","ngtb_X1",2020,8887.03925492222
"SAC","ngtb_X2",2020,11769.6726086765
"SAC","ngtb_X3",2020,58828.9345851136
"SAC","nuc_X",2020,10441.6087791667
"SAC","oth_X",2020,6081.2156859
"SAC","slr_X",2020,8907.81988228658
"SAC","stog_X1",2020,0
"SAC","wnd_X",2020,8904.00061
"TX","bio_X",2020,20093.0107441667
"TX","col_X1",2020,5896.88207286667
"TX","col_X2",2020,11094.3172770833
"TX","col_X3",2020,14144.367686
"TX","hyd_X",2020,8904.02624395
"TX","msw_X",2020,5773.820571
"TX","ngcc_X1",2020,7131.00191319118
"TX","ngcc_X2",2020,11687.42183
"TX","ngcc_X3",2020,13498.64806
"TX","ngtb_X1",2020,7710.96397698039
"TX","ngtb_X2",2020,11628.6098433333
"TX","ngtb_X3",2020,23675.5798207143
"TX","nuc_X",2020,10441.60877
"TX","oth_X",2020,8903.9977615
"TX","slr_X",2020,8904.03266859016
"TX","wnd_X",2020,8902.26805779545
"WNC","bio_X",2020,9703.37763353846
"WNC","col_X1",2020,6350.75078457143
"WNC","col_X2",2020,10950.2384727778
"WNC","col_X3",2020,22414.2499724242
"WNC","hyd_X",2020,8903.82283
"WNC","msw_X",2020,18320.8025454
"WNC","ngcc_X1",2020,7541.12117980952
"WNC","ngcc_X3",2020,14913.50098
"WNC","ngtb_X1",2020,8748.11253924852
"WNC","ngtb_X2",2020,11908.0268989655
"WNC","ngtb_X3",2020,73503.7997737097
"WNC","nuc_X",2020,10444.3349333333
"WNC","oth_X",2020,4647.8680296
"WNC","slr_X",2020,8900.86113028322
"WNC","stog_X1",2020,0
"WNC","wnd_X",2020,8904.01978773925
"WSC","bio_X",2020,7104.99957553333
"WSC","col_X1",2020,6139.65829524138
"WSC","col_X2",2020,11163.64577
"WSC","col_X3",2020,14630.2847164706
"WSC","hyd_X",2020,8903.99531365517
"WSC","msw_X",2020,8804.563226
"WSC","ngcc_X1",2020,7423.79214163636
"WSC","ngcc_X3",2020,45787.56384
"WSC","ngtb_X1",2020,7304.99565157576
"WSC","ngtb_X2",2020,11935.626419
"WSC","ngtb_X3",2020,99261.280255
"WSC","nuc_X",2020,10449.98491
"WSC","oth_X",2020,8904.005024
"WSC","slr_X",2020,8904.06570646667
"WSC","stog_X1",2020,0
"WSC","wnd_X",2020,8903.99931340385
"NEG","col_N",2020,8373.687963
"NEG","col_Nccs",2020,11311.56665
"NEG","ngcc_N",2020,6330.245483
"NEG","ngcc_Nccs",2020,7280.36979
"NEG","ngtb_N",2020,9556.081117
"NEG","nuc_N",2020,10488
"NEG","bio_N",2020,12897.92085
"NEG","lfg_N_hi",2020,18000
"NEG","lfg_N_lo",2020,18000
"NEG","lfg_N_vl",2020,18000
"NEG","fc_N",2020,9209.489281
"NEG","geo_N_1",2020,32969
"NEG","geo_N_2",2020,32969
"NEG","geo_N_3",2020,32969
"NEG","geo_N_4",2020,32969
"NEG","geo_N_5",2020,32969
"NEG","geo_N_6",2020,32969
"NEG","geo_N_7",2020,32969
"NEG","geo_N_8",2020,32969
"NEG","geo_N_9",2020,32969
"NEG","geo_N_10",2020,32969
"NEG","slrPV_N",2020,9884
"NEG","slrCSP_N",2020,9884
"NEG","wnd_Nonsh_3",2020,9884
"NEG","wnd_Nonsh_4",2020,9884
"NEG","wnd_Nonsh_5",2020,9884
"NEG","wnd_Nonsh_6",2020,9884
"NEG","wnd_Nonsh_7",2020,9884
"NEG","wnd_Nshal_3",2020,9884
"NEG","wnd_Nshal_4",2020,9884
"NEG","wnd_Nshal_5",2020,9884
"NEG","wnd_Nshal_6",2020,9884
"NEG","wnd_Nshal_7",2020,9884
"NEG","wnd_Ndeep_3",2020,9884
"NEG","wnd_Ndeep_4",2020,9884
"NEG","wnd_Ndeep_5",2020,9884
"NEG","wnd_Ndeep_6",2020,9884
"NEG","wnd_Ndeep_7",2020,9884
"NY","col_N",2020,8373.687963
"NY","col_Nccs",2020,11311.56665
"NY","ngcc_N",2020,6330.245483
"NY","ngcc_Nccs",2020,7280.36979
"NY","ngtb_N",2020,9556.081117
"NY","nuc_N",2020,10488
"NY","bio_N",2020,12897.92085
"NY","lfg_N_hi",2020,18000
"NY","lfg_N_lo",2020,18000
"NY","lfg_N_vl",2020,18000
"NY","fc_N",2020,9209.489281
"NY","geo_N_1",2020,32969
"NY","geo_N_2",2020,32969
"NY","geo_N_3",2020,32969
"NY","geo_N_4",2020,32969
"NY","geo_N_5",2020,32969
"NY","geo_N_6",2020,32969
"NY","geo_N_7",2020,32969
"NY","geo_N_8",2020,32969
"NY","geo_N_9",2020,32969
"NY","geo_N_10",2020,32969
"NY","slrPV_N",2020,9884
"NY","slrCSP_N",2020,9884
"NY","wnd_Nonsh_3",2020,9884
"NY","wnd_Nonsh_4",2020,9884
"NY","wnd_Nonsh_5",2020,9884
"NY","wnd_Nonsh_6",2020,9884
"NY","wnd_Nonsh_7",2020,9884
"NY","wnd_Nshal_3",2020,9884
"NY","wnd_Nshal_4",2020,9884
"NY","wnd_Nshal_5",2020,9884
"NY","wnd_Nshal_6",2020,9884
"NY","wnd_Nshal_7",2020,9884
"NY","wnd_Ndeep_3",2020,9884
"NY","wnd_Ndeep_4",2020,9884
"NY","wnd_Ndeep_5",2020,9884
"NY","wnd_Ndeep_6",2020,9884
"NY","wnd_Ndeep_7",2020,9884
"MID","col_N",2020,8373.687963
"MID","col_Nccs",2020,11311.56665
"MID","ngcc_N",2020,6330.245483
"MID","ngcc_Nccs",2020,7280.36979
"MID","ngtb_N",2020,9556.081117
"MID","nuc_N",2020,10488
"MID","bio_N",2020,12897.92085
"MID","lfg_N_hi",2020,18000
"MID","lfg_N_lo",2020,18000
"MID","lfg_N_vl",2020,18000
"MID","fc_N",2020,9209.489281
"MID","geo_N_1",2020,32969
"MID","geo_N_2",2020,32969
"MID","geo_N_3",2020,32969
"MID","geo_N_4",2020,32969
"MID","geo_N_5",2020,32969
"MID","geo_N_6",2020,32969
"MID","geo_N_7",2020,32969
"MID","geo_N_8",2020,32969
"MID","geo_N_9",2020,32969
"MID","geo_N_10",2020,32969
"MID","slrPV_N",2020,9884
"MID","slrCSP_N",2020,9884
"MID","wnd_Nonsh_3",2020,9884
"MID","wnd_Nonsh_4",2020,9884
"MID","wnd_Nonsh_5",2020,9884
"MID","wnd_Nonsh_6",2020,9884
"MID","wnd_Nonsh_7",2020,9884
"MID","wnd_Nshal_3",2020,9884
"MID","wnd_Nshal_4",2020,9884
"MID","wnd_Nshal_5",2020,9884
"MID","wnd_Nshal_6",2020,9884
"MID","wnd_Nshal_7",2020,9884
"MID","wnd_Ndeep_3",2020,9884
"MID","wnd_Ndeep_4",2020,9884
"MID","wnd_Ndeep_5",2020,9884
"MID","wnd_Ndeep_6",2020,9884
"MID","wnd_Ndeep_7",2020,9884
"ENC","col_N",2020,8373.687963
"ENC","col_Nccs",2020,11311.56665
"ENC","ngcc_N",2020,6330.245483
"ENC","ngcc_Nccs",2020,7280.36979
"ENC","ngtb_N",2020,9556.081117
"ENC","nuc_N",2020,10488
"ENC","bio_N",2020,12897.92085
"ENC","lfg_N_hi",2020,18000
"ENC","lfg_N_lo",2020,18000
"ENC","lfg_N_vl",2020,18000
"ENC","fc_N",2020,9209.489281
"ENC","geo_N_1",2020,32969
