"region","year","Value"
"NEG",2020,99.9944513971548
"NY",2020,131.568022074781
"MID",2020,299.982381826054
"ENC",2020,584.53910623655
"WNC",2020,342.115002444678
"FL",2020,244.949921419173
"SAC",2020,565.108473848754
"ESC",2020,362.674778778321
"TX",2020,483.079821378179
"WSC",2020,248.544201882255
"MTN",2020,371.455289779718
"CA",2020,201.747827791047
"PAC",2020,168.721986161
