region,year,Value
NEG,2020,27.99132043
NY,2020,32.89393139
MID,2020,53.55007927
ENC,2020,119.6920598
WNC,2020,62.17304376
FL,2020,51.82453424
SAC,2020,136.1961133
ESC,2020,73.58917367
TX,2020,85.60237406
WSC,2020,47.06006285
MTN,2020,60.66094633
CA,2020,66.37661305
PAC,2020,29.00160773
