region,year,Value
NEG,2020,66.2688948
NY,2020,73.59650163
MID,2020,73.59650163
ENC,2020,54.49113266
WNC,2020,38.70281245
FL,2020,60.84096661
SAC,2020,60.84096661
ESC,2020,54.40205939
TX,2020,62.32059026
WSC,2020,62.32059026
MTN,2020,47.3055735
CA,2020,73.26451563
PAC,2020,73.26451563
