region,plant_type,year,Value
WNC,wnd_Nonsh_6,2020,2440.507459
WNC,wnd_Nonsh_7,2020,2440.507459
WNC,wnd_Nshal_3,2020,5981.145228
WNC,wnd_Nshal_4,2020,5981.145228
WNC,wnd_Nshal_5,2020,5981.145228
WNC,wnd_Nshal_6,2020,5981.145228
WNC,wnd_Nshal_7,2020,5981.145228
WNC,wnd_Ndeep_3,2020,5981.145228
WNC,wnd_Ndeep_4,2020,5981.145228
WNC,wnd_Ndeep_5,2020,5981.145228
WNC,wnd_Ndeep_6,2020,5981.145228
WNC,wnd_Ndeep_7,2020,5981.145228
FL,col_N,2020,3120.688514
FL,col_Nccs,2020,4157.575171
FL,ngcc_N,2020,980.2666696
FL,ngcc_Nccs,2020,1839.403878
FL,ngtb_N,2020,645.7180625
FL,nuc_N,2020,4925.01412
FL,bio_N,2020,3808.758826
FL,lfg_N_hi,2020,2407.156562
FL,lfg_N_lo,2020,3032.728986
FL,lfg_N_vl,2020,4669.211072
FL,fc_N,2020,6622.137842
FL,slrPV_N,2020,4569.273235
FL,slrCSP_N,2020,4508.733968
FL,wnd_Nonsh_3,2020,2342.773532
FL,wnd_Nonsh_4,2020,2342.773532
FL,wnd_Nonsh_5,2020,2342.773532
FL,wnd_Nonsh_6,2020,2342.773532
FL,wnd_Nonsh_7,2020,2342.773532
FL,wnd_Nshal_3,2020,5741.620942
FL,wnd_Nshal_4,2020,5741.620942
FL,wnd_Nshal_5,2020,5741.620942
FL,wnd_Nshal_6,2020,5741.620942
FL,wnd_Nshal_7,2020,5741.620942
FL,wnd_Ndeep_3,2020,5741.620942
FL,wnd_Ndeep_4,2020,5741.620942
FL,wnd_Ndeep_5,2020,5741.620942
FL,wnd_Ndeep_6,2020,5741.620942
FL,wnd_Ndeep_7,2020,5741.620942
SAC,col_N,2020,3154.08801
SAC,col_Nccs,2020,4202.072056
SAC,ngcc_N,2020,990.7580765
SAC,ngcc_Nccs,2020,1859.090291
SAC,ngtb_N,2020,652.6289278
SAC,nuc_N,2020,4977.724601
SAC,bio_N,2020,3849.522467
SAC,lfg_N_hi,2020,2432.919408
SAC,lfg_N_lo,2020,3065.187086
SAC,lfg_N_vl,2020,4719.183794
SAC,fc_N,2020,6693.011967
SAC,slrPV_N,2020,4618.176361
SAC,slrCSP_N,2020,4556.989166
SAC,wnd_Nonsh_3,2020,2367.847312
SAC,wnd_Nonsh_4,2020,2367.847312
SAC,wnd_Nonsh_5,2020,2367.847312
SAC,wnd_Nonsh_6,2020,2367.847312
SAC,wnd_Nonsh_7,2020,2367.847312
SAC,wnd_Nshal_3,2020,5803.071242
SAC,wnd_Nshal_4,2020,5803.071242
SAC,wnd_Nshal_5,2020,5803.071242
SAC,wnd_Nshal_6,2020,5803.071242
SAC,wnd_Nshal_7,2020,5803.071242
SAC,wnd_Ndeep_3,2020,5803.071242
SAC,wnd_Ndeep_4,2020,5803.071242
SAC,wnd_Ndeep_5,2020,5803.071242
SAC,wnd_Ndeep_6,2020,5803.071242
SAC,wnd_Ndeep_7,2020,5803.071242
ESC,col_N,2020,3146.863522
ESC,col_Nccs,2020,4192.447144
ESC,ngcc_N,2020,988.4887295
ESC,ngcc_Nccs,2020,1854.832015
ESC,ngtb_N,2020,651.134071
ESC,nuc_N,2020,4966.323044
ESC,bio_N,2020,3840.705075
ESC,lfg_N_hi,2020,2427.346768
ESC,lfg_N_lo,2020,3058.166227
ESC,lfg_N_vl,2020,4708.374429
ESC,fc_N,2020,6677.681518
ESC,slrPV_N,2020,4607.598355
ESC,slrCSP_N,2020,4546.551311
ESC,wnd_Nonsh_3,2020,2362.42372
ESC,wnd_Nonsh_4,2020,2362.42372
ESC,wnd_Nonsh_5,2020,2362.42372
ESC,wnd_Nonsh_6,2020,2362.42372
ESC,wnd_Nonsh_7,2020,2362.42372
ESC,wnd_Nshal_3,2020,5789.779216
ESC,wnd_Nshal_4,2020,5789.779216
ESC,wnd_Nshal_5,2020,5789.779216
ESC,wnd_Nshal_6,2020,5789.779216
ESC,wnd_Nshal_7,2020,5789.779216
ESC,wnd_Ndeep_3,2020,5789.779216
ESC,wnd_Ndeep_4,2020,5789.779216
ESC,wnd_Ndeep_5,2020,5789.779216
ESC,wnd_Ndeep_6,2020,5789.779216
ESC,wnd_Ndeep_7,2020,5789.779216
TX,col_N,2020,3204.293263
TX,col_Nccs,2020,4268.958613
TX,ngcc_N,2020,1006.528486
TX,ngcc_Nccs,2020,1888.682394
TX,ngtb_N,2020,663.0171605
TX,nuc_N,2020,5056.957622
TX,bio_N,2020,3910.79731
TX,lfg_N_hi,2020,2471.645446
TX,lfg_N_lo,2020,3113.977257
TX,lfg_N_vl,2020,4794.301487
TX,fc_N,2020,6799.548106
TX,geo_N_1,2020,4002
TX,geo_N_2,2020,4675
TX,geo_N_3,2020,5650
TX,geo_N_4,2020,7744
TX,geo_N_5,2020,9199
TX,slrPV_N,2020,4691.686267
TX,slrCSP_N,2020,4629.525124
TX,wnd_Nonsh_3,2020,2405.537564
TX,wnd_Nonsh_4,2020,2405.537564
TX,wnd_Nonsh_5,2020,2405.537564
TX,wnd_Nonsh_6,2020,2405.537564
TX,wnd_Nonsh_7,2020,2405.537564
TX,wnd_Nshal_3,2020,5895.441733
TX,wnd_Nshal_4,2020,5895.441733
TX,wnd_Nshal_5,2020,5895.441733
TX,wnd_Nshal_6,2020,5895.441733
TX,wnd_Nshal_7,2020,5895.441733
TX,wnd_Ndeep_3,2020,5895.441733
TX,wnd_Ndeep_4,2020,5895.441733
TX,wnd_Ndeep_5,2020,5895.441733
TX,wnd_Ndeep_6,2020,5895.441733
TX,wnd_Ndeep_7,2020,5895.441733
WSC,col_N,2020,3171.740732
WSC,col_Nccs,2020,4225.59011
WSC,ngcc_N,2020,996.303127
WSC,ngcc_Nccs,2020,1869.495202
WSC,ngtb_N,2020,656.2815454
WSC,nuc_N,2020,5005.583808
WSC,bio_N,2020,3871.06738
WSC,lfg_N_hi,2020,2446.535912
WSC,lfg_N_lo,2020,3082.34225
WSC,lfg_N_vl,2020,4745.596006
WSC,fc_N,2020,6730.471253
WSC,slrPV_N,2020,4644.023257
WSC,slrCSP_N,2020,4582.493612
WSC,wnd_Nonsh_3,2020,2381.099622
WSC,wnd_Nonsh_4,2020,2381.099622
WSC,wnd_Nonsh_5,2020,2381.099622
WSC,wnd_Nonsh_6,2020,2381.099622
WSC,wnd_Nonsh_7,2020,2381.099622
WSC,wnd_Nshal_3,2020,5835.549729
WSC,wnd_Nshal_4,2020,5835.549729
WSC,wnd_Nshal_5,2020,5835.549729
WSC,wnd_Nshal_6,2020,5835.549729
WSC,wnd_Nshal_7,2020,5835.549729
WSC,wnd_Ndeep_3,2020,5835.549729
WSC,wnd_Ndeep_4,2020,5835.549729
WSC,wnd_Ndeep_5,2020,5835.549729
WSC,wnd_Ndeep_6,2020,5835.549729
WSC,wnd_Ndeep_7,2020,5835.549729
MTN,col_N,2020,3281.513555
MTN,col_Nccs,2020,4371.836286
MTN,ngcc_N,2020,1030.784825
MTN,ngcc_Nccs,2020,1934.197768
MTN,ngtb_N,2020,678.9952172
MTN,nuc_N,2020,5178.82529
MTN,bio_N,2020,4005.04365
MTN,lfg_N_hi,2020,2531.209653
MTN,lfg_N_lo,2020,3189.021023
MTN,lfg_N_vl,2020,4909.839402
MTN,fc_N,2020,6963.410478
MTN,geo_N_1,2020,4102.181157
MTN,geo_N_2,2020,5086.372851
MTN,geo_N_3,2020,6587.860738
MTN,geo_N_4,2020,10578.95154
MTN,geo_N_5,2020,20652.08459
MTN,geo_N_6,2020,4523
MTN,geo_N_7,2020,5380
MTN,geo_N_8,2020,3428
MTN,geo_N_9,2020,4594
MTN,geo_N_10,2020,8210
MTN,slrPV_N,2020,4804.751257
MTN,slrCSP_N,2020,4741.092092
MTN,wnd_Nonsh_3,2020,2463.508636
MTN,wnd_Nonsh_4,2020,2463.508636
MTN,wnd_Nonsh_5,2020,2463.508636
MTN,wnd_Nonsh_6,2020,2463.508636
MTN,wnd_Nonsh_7,2020,2463.508636
MTN,wnd_Nshal_3,2020,6037.516038
MTN,wnd_Nshal_4,2020,6037.516038
MTN,wnd_Nshal_5,2020,6037.516038
MTN,wnd_Nshal_6,2020,6037.516038
MTN,wnd_Nshal_7,2020,6037.516038
MTN,wnd_Ndeep_3,2020,6037.516038
MTN,wnd_Ndeep_4,2020,6037.516038
MTN,wnd_Ndeep_5,2020,6037.516038
MTN,wnd_Ndeep_6,2020,6037.516038
MTN,wnd_Ndeep_7,2020,6037.516038
CA,col_N,2020,3430.363546
CA,col_Nccs,2020,4570.143494
CA,ngcc_N,2020,1077.541393
CA,ngcc_Nccs,2020,2021.933295
CA,ngtb_N,2020,709.7945511
CA,nuc_N,2020,5413.737651
CA,bio_N,2020,4186.713084
CA,lfg_N_hi,2020,2646.025736
CA,lfg_N_lo,2020,3333.675538
CA,lfg_N_vl,2020,5132.550519
CA,fc_N,2020,7279.271915
CA,geo_N_1,2020,1810.17422
CA,geo_N_2,2020,3762.603276
CA,geo_N_3,2020,4391.860777
CA,geo_N_4,2020,5309.059547
CA,geo_N_5,2020,5694.124137
CA,geo_N_6,2020,6817
CA,slrPV_N,2020,5022.695558
CA,slrCSP_N,2020,4956.148803
CA,wnd_Nonsh_3,2020,2575.25379
CA,wnd_Nonsh_4,2020,2575.25379
CA,wnd_Nonsh_5,2020,2575.25379
CA,wnd_Nonsh_6,2020,2575.25379
CA,wnd_Nonsh_7,2020,2575.25379
CA,wnd_Nshal_3,2020,6311.378751
CA,wnd_Nshal_4,2020,6311.378751
CA,wnd_Nshal_5,2020,6311.378751
CA,wnd_Nshal_6,2020,6311.378751
CA,wnd_Nshal_7,2020,6311.378751
CA,wnd_Ndeep_3,2020,6311.378751
CA,wnd_Ndeep_4,2020,6311.378751
CA,wnd_Ndeep_5,2020,6311.378751
CA,wnd_Ndeep_6,2020,6311.378751
CA,wnd_Ndeep_7,2020,6311.378751
PAC,col_N,2020,3331.970714
PAC,col_Nccs,2020,4439.058449
PAC,ngcc_N,2020,1046.634363
PAC,ngcc_Nccs,2020,1963.938351
PAC,ngtb_N,2020,689.4355731
PAC,nuc_N,2020,5258.455864
PAC,bio_N,2020,4066.625941
PAC,lfg_N_hi,2020,2570.13
PAC,lfg_N_lo,2020,3238.056
PAC,lfg_N_vl,2020,4985.334
PAC,fc_N,2020,7070.481164
PAC,geo_N_1,2020,3890
PAC,geo_N_2,2020,4782
PAC,geo_N_3,2020,5211
PAC,geo_N_4,2020,5625
PAC,slrPV_N,2020,4878.63
PAC,slrCSP_N,2020,4813.992
PAC,wnd_Nonsh_3,2020,2501.388
PAC,wnd_Nonsh_4,2020,2501.388
PAC,wnd_Nonsh_5,2020,2501.388
PAC,wnd_Nonsh_6,2020,2501.388
PAC,wnd_Nonsh_7,2020,2501.388
PAC,wnd_Nshal_3,2020,6130.35
PAC,wnd_Nshal_4,2020,6130.35
PAC,wnd_Nshal_5,2020,6130.35
PAC,wnd_Nshal_6,2020,6130.35
PAC,wnd_Nshal_7,2020,6130.35
PAC,wnd_Ndeep_3,2020,6130.35
PAC,wnd_Ndeep_4,2020,6130.35
PAC,wnd_Ndeep_5,2020,6130.35
PAC,wnd_Ndeep_6,2020,6130.35
PAC,wnd_Ndeep_7,2020,6130.35
