region,pollutant,time,value
FL,co2,2035,96.56
FL,co2,2040,64.16
FL,co2,2045,68.23
FL,co2,2050,63.87
FL,co2,2075,51.09
FL,so2,2010,0.00
FL,so2,2015,0.00
FL,so2,2020,0.00
FL,so2,2025,0.00
FL,so2,2030,0.00
FL,so2,2035,0.00
FL,so2,2040,0.00
FL,so2,2045,0.00
FL,so2,2050,0.00
FL,so2,2075,0.00
FL,nox,2010,0.00
FL,nox,2015,0.00
FL,nox,2020,0.00
FL,nox,2025,0.00
FL,nox,2030,0.00
FL,nox,2035,0.00
FL,nox,2040,0.00
FL,nox,2045,0.00
FL,nox,2050,0.00
FL,nox,2075,0.00
FL,hg,2010,0.00
FL,hg,2015,0.00
FL,hg,2020,0.00
FL,hg,2025,0.00
FL,hg,2030,0.00
FL,hg,2035,0.00
FL,hg,2040,0.00
FL,hg,2045,0.00
FL,hg,2050,0.00
FL,hg,2075,0.00
SAC,co2,2010,323.37
SAC,co2,2015,312.13
SAC,co2,2020,190.30
SAC,co2,2025,194.01
SAC,co2,2030,106.65
SAC,co2,2035,126.14
SAC,co2,2040,1.25
SAC,co2,2045,1.41
SAC,co2,2050,1.43
SAC,co2,2075,9.41
SAC,so2,2010,0.00
SAC,so2,2015,0.00
SAC,so2,2020,0.00
SAC,so2,2025,0.00
SAC,so2,2030,0.00
SAC,so2,2035,0.00
SAC,so2,2040,0.00
SAC,so2,2045,0.00
SAC,so2,2050,0.00
SAC,so2,2075,0.00
SAC,nox,2010,0.00
SAC,nox,2015,0.00
SAC,nox,2020,0.00
SAC,nox,2025,0.00
SAC,nox,2030,0.00
SAC,nox,2035,0.00
SAC,nox,2040,0.00
SAC,nox,2045,0.00
SAC,nox,2050,0.00
SAC,nox,2075,0.00
SAC,hg,2010,0.00
SAC,hg,2015,0.00
SAC,hg,2020,0.00
SAC,hg,2025,0.00
SAC,hg,2030,0.00
SAC,hg,2035,0.00
SAC,hg,2040,0.00
SAC,hg,2045,0.00
SAC,hg,2050,0.00
SAC,hg,2075,0.00
ESC,co2,2010,257.64
ESC,co2,2015,233.78
ESC,co2,2020,187.48
ESC,co2,2025,170.76
ESC,co2,2030,69.37
ESC,co2,2035,40.03
ESC,co2,2040,19.39
ESC,co2,2045,21.53
ESC,co2,2050,25.36
ESC,co2,2075,43.78
ESC,so2,2010,0.00
ESC,so2,2015,0.00
ESC,so2,2020,0.00
ESC,so2,2025,0.00
ESC,so2,2030,0.00
ESC,so2,2035,0.00
ESC,so2,2040,0.00
ESC,so2,2045,0.00
ESC,so2,2050,0.00
ESC,so2,2075,0.00
ESC,nox,2010,0.00
ESC,nox,2015,0.00
ESC,nox,2020,0.00
ESC,nox,2025,0.00
ESC,nox,2030,0.00
ESC,nox,2035,0.00
ESC,nox,2040,0.00
ESC,nox,2045,0.00
ESC,nox,2050,0.00
ESC,nox,2075,0.00
ESC,hg,2010,0.00
ESC,hg,2015,0.00
ESC,hg,2020,0.00
ESC,hg,2025,0.00
ESC,hg,2030,0.00
ESC,hg,2035,0.00
ESC,hg,2040,0.00
ESC,hg,2045,0.00
ESC,hg,2050,0.00
ESC,hg,2075,0.00
TX,co2,2010,230.85
TX,co2,2015,207.52
TX,co2,2020,179.69
TX,co2,2025,169.98
TX,co2,2030,126.67
TX,co2,2035,73.62
TX,co2,2040,30.31
TX,co2,2045,33.10
TX,co2,2050,20.50
TX,co2,2075,17.34
TX,so2,2010,0.00
TX,so2,2015,0.00
TX,so2,2020,0.00
TX,so2,2025,0.00
TX,so2,2030,0.00
TX,so2,2035,0.00
TX,so2,2040,0.00
TX,so2,2045,0.00
TX,so2,2050,0.00
TX,so2,2075,0.00
TX,nox,2010,0.00
TX,nox,2015,0.00
TX,nox,2020,0.00
TX,nox,2025,0.00
TX,nox,2030,0.00
TX,nox,2035,0.00
TX,nox,2040,0.00
TX,nox,2045,0.00
TX,nox,2050,0.00
TX,nox,2075,0.00
TX,hg,2010,0.00
TX,hg,2015,0.00
TX,hg,2020,0.00
TX,hg,2025,0.00
TX,hg,2030,0.00
TX,hg,2035,0.00
TX,hg,2040,0.00
TX,hg,2045,0.00
TX,hg,2050,0.00
TX,hg,2075,0.00
WSC,co2,2010,124.09
WSC,co2,2015,112.07
WSC,co2,2020,80.95
WSC,co2,2025,44.98
WSC,co2,2030,33.27
WSC,co2,2035,13.10
WSC,co2,2040,3.59
WSC,co2,2045,5.96
WSC,co2,2050,7.24
WSC,co2,2075,11.81
WSC,so2,2010,0.00
WSC,so2,2015,0.00
WSC,so2,2020,0.00
WSC,so2,2025,0.00
WSC,so2,2030,0.00
WSC,so2,2035,0.00
WSC,so2,2040,0.00
WSC,so2,2045,0.00
WSC,so2,2050,0.00
WSC,so2,2075,0.00
WSC,nox,2010,0.00
WSC,nox,2015,0.00
WSC,nox,2020,0.00
WSC,nox,2025,0.00
WSC,nox,2030,0.00
WSC,nox,2035,0.00
WSC,nox,2040,0.00
WSC,nox,2045,0.00
WSC,nox,2050,0.00
WSC,nox,2075,0.00
WSC,hg,2010,0.00
WSC,hg,2015,0.00
WSC,hg,2020,0.00
WSC,hg,2025,0.00
WSC,hg,2030,0.00
WSC,hg,2035,0.00
WSC,hg,2040,0.00
WSC,hg,2045,0.00
WSC,hg,2050,0.00
WSC,hg,2075,0.00
MTN,co2,2010,237.22
MTN,co2,2015,233.65
MTN,co2,2020,129.53
MTN,co2,2025,87.51
MTN,co2,2030,37.28
MTN,co2,2035,7.53
MTN,co2,2040,1.35
MTN,co2,2045,0.87
