region,unit,value
ENC,ngcc_Nccs,6.45
ENC,ngtb_N,9.87
ENC,nuc_N,2.04
ENC,bio_N,5.00
ENC,fc_N,49.00
ENC,slrPV_N,0.00
ENC,slrCSP_N,0.00
ENC,col_X1,8.37
ENC,col_X2,9.31
ENC,col_X3,4.34
ENC,col_X1bio,0.00
ENC,col_X2bio,0.00
ENC,col_X3bio,0.00
ENC,col_X1ccs,0.00
ENC,col_X2ccs,0.00
ENC,col_X3ccs,0.00
ENC,ngcc_X1,2.27
ENC,ngcc_X2,0.00
ENC,ngcc_X3,2.21
ENC,ngtb_X1,4.79
ENC,ngtb_X2,4.80
ENC,ngtb_X3,4.79
ENC,stog_X1,0.00
ENC,stog_X2,0.00
ENC,stog_X3,0.00
ENC,lfg_N_hi,8.33
ENC,lfg_N_lo,8.33
ENC,lfg_N_vl,8.33
ENC,geo_N_1,9.64
ENC,geo_N_2,9.64
ENC,geo_N_3,9.64
ENC,geo_N_4,9.64
ENC,geo_N_5,9.64
ENC,geo_N_6,9.64
ENC,geo_N_7,9.64
ENC,geo_N_8,9.64
ENC,geo_N_9,9.64
ENC,geo_N_10,9.64
ENC,wnd_Nonsh_3,0.00
ENC,wnd_Nonsh_4,0.00
ENC,wnd_Nonsh_5,0.00
ENC,wnd_Nonsh_6,0.00
ENC,wnd_Nonsh_7,0.00
ENC,wnd_Nshal_3,0.00
ENC,wnd_Nshal_4,0.00
ENC,wnd_Nshal_5,0.00
ENC,wnd_Nshal_6,0.00
ENC,wnd_Nshal_7,0.00
ENC,wnd_Ndeep_3,0.00
ENC,wnd_Ndeep_4,0.00
ENC,wnd_Ndeep_5,0.00
ENC,wnd_Ndeep_6,0.00
ENC,wnd_Ndeep_7,0.00
WNC,nuc_X,2.56
WNC,hyd_X,0.00
WNC,geo_X,0.00
WNC,bio_X,5.81
WNC,lfg_X,0.00
WNC,msw_X,0.94
WNC,slr_X,0.00
WNC,wnd_X,0.00
WNC,oth_X,3.30
WNC,ps_X,0.00
WNC,col_N,6.87
WNC,col_Nccs,9.05
WNC,ngcc_N,3.11
WNC,ngcc_Nccs,6.45
WNC,ngtb_N,9.87
WNC,nuc_N,2.04
WNC,bio_N,5.00
WNC,fc_N,49.00
WNC,slrPV_N,0.00
WNC,slrCSP_N,0.00
WNC,col_X1,7.58
WNC,col_X2,8.96
WNC,col_X3,7.65
WNC,col_X1bio,0.00
WNC,col_X2bio,0.00
WNC,col_X3bio,0.00
WNC,col_X1ccs,0.00
WNC,col_X2ccs,0.00
WNC,col_X3ccs,0.00
WNC,ngcc_X1,2.24
WNC,ngcc_X2,0.00
WNC,ngcc_X3,2.19
WNC,ngtb_X1,4.78
WNC,ngtb_X2,4.84
WNC,ngtb_X3,4.77
WNC,stog_X1,0.00
WNC,stog_X2,0.00
WNC,stog_X3,0.00
WNC,lfg_N_hi,8.33
WNC,lfg_N_lo,8.33
WNC,lfg_N_vl,8.33
WNC,geo_N_1,9.64
WNC,geo_N_2,9.64
WNC,geo_N_3,9.64
WNC,geo_N_4,9.64
WNC,geo_N_5,9.64
WNC,geo_N_6,9.64
WNC,geo_N_7,9.64
WNC,geo_N_8,9.64
WNC,geo_N_9,9.64
WNC,geo_N_10,9.64
WNC,wnd_Nonsh_3,0.00
WNC,wnd_Nonsh_4,0.00
WNC,wnd_Nonsh_5,0.00
WNC,wnd_Nonsh_6,0.00
WNC,wnd_Nonsh_7,0.00
WNC,wnd_Nshal_3,0.00
WNC,wnd_Nshal_4,0.00
WNC,wnd_Nshal_5,0.00
WNC,wnd_Nshal_6,0.00
WNC,wnd_Nshal_7,0.00
WNC,wnd_Ndeep_3,0.00
WNC,wnd_Ndeep_4,0.00
WNC,wnd_Ndeep_5,0.00
WNC,wnd_Ndeep_6,0.00
WNC,wnd_Ndeep_7,0.00
FL,nuc_X,2.56
FL,hyd_X,0.00
FL,geo_X,0.00
FL,bio_X,7.35
FL,lfg_X,0.00
FL,msw_X,2.87
FL,slr_X,0.03
FL,wnd_X,0.00
FL,oth_X,3.23
FL,ps_X,0.00
FL,col_N,6.87
FL,col_Nccs,9.05
FL,ngcc_N,3.11
FL,ngcc_Nccs,6.45
FL,ngtb_N,9.87
FL,nuc_N,2.04
FL,bio_N,5.00
FL,fc_N,49.00
FL,slrPV_N,0.00
FL,slrCSP_N,0.00
FL,col_X1,3.27
FL,col_X2,8.05
FL,col_X3,7.24
FL,col_X1bio,0.00
FL,col_X2bio,0.00
FL,col_X3bio,0.00
FL,col_X1ccs,0.00
FL,col_X2ccs,0.00
FL,col_X3ccs,0.00
FL,ngcc_X1,2.23
FL,ngcc_X2,2.21
FL,ngcc_X3,2.21
FL,ngtb_X1,4.78
FL,ngtb_X2,4.80
FL,ngtb_X3,4.70
FL,stog_X1,0.00
FL,stog_X2,0.00
FL,stog_X3,0.00
FL,lfg_N_hi,8.33
FL,lfg_N_lo,8.33
FL,lfg_N_vl,8.33
FL,geo_N_1,9.64
FL,geo_N_2,9.64
FL,geo_N_3,9.64
FL,geo_N_4,9.64
FL,geo_N_5,9.64
FL,geo_N_6,9.64
FL,geo_N_7,9.64
FL,geo_N_8,9.64
FL,geo_N_9,9.64
FL,geo_N_10,9.64
FL,wnd_Nonsh_3,0.00
FL,wnd_Nonsh_4,0.00
FL,wnd_Nonsh_5,0.00
FL,wnd_Nonsh_6,0.00
FL,wnd_Nonsh_7,0.00
FL,wnd_Nshal_3,0.00
FL,wnd_Nshal_4,0.00
FL,wnd_Nshal_5,0.00
FL,wnd_Nshal_6,0.00
FL,wnd_Nshal_7,0.00
FL,wnd_Ndeep_3,0.00
FL,wnd_Ndeep_4,0.00
FL,wnd_Ndeep_5,0.00
FL,wnd_Ndeep_6,0.00
FL,wnd_Ndeep_7,0.00
SAC,nuc_X,2.56
SAC,hyd_X,0.00
SAC,geo_X,0.00
SAC,bio_X,5.70
SAC,lfg_X,0.00
SAC,msw_X,4.06
SAC,slr_X,0.00
SAC,wnd_X,0.00
SAC,oth_X,0.19
SAC,ps_X,0.00
SAC,col_N,6.87
SAC,col_Nccs,9.05
SAC,ngcc_N,3.11
SAC,ngcc_Nccs,6.45
SAC,ngtb_N,9.87
SAC,nuc_N,2.04
SAC,bio_N,5.00
SAC,fc_N,49.00
SAC,slrPV_N,0.00
SAC,slrCSP_N,0.00
SAC,col_X1,7.91
SAC,col_X2,8.33
SAC,col_X3,11.37
SAC,col_X1bio,0.00
SAC,col_X2bio,0.00
SAC,col_X3bio,0.00
SAC,col_X1ccs,0.00
SAC,col_X2ccs,0.00
SAC,col_X3ccs,0.00
SAC,ngcc_X1,2.27
SAC,ngcc_X2,2.21
SAC,ngcc_X3,3.10
SAC,ngtb_X1,4.77
SAC,ngtb_X2,4.78
SAC,ngtb_X3,4.78
SAC,stog_X1,0.00
SAC,stog_X2,0.00
SAC,stog_X3,0.00
SAC,lfg_N_hi,8.33
SAC,lfg_N_lo,8.33
SAC,lfg_N_vl,8.33
SAC,geo_N_1,9.64
SAC,geo_N_2,9.64
SAC,geo_N_3,9.64
SAC,geo_N_4,9.64
SAC,geo_N_5,9.64
SAC,geo_N_6,9.64
SAC,geo_N_7,9.64
SAC,geo_N_8,9.64
SAC,geo_N_9,9.64
SAC,geo_N_10,9.64
SAC,wnd_Nonsh_3,0.00
SAC,wnd_Nonsh_4,0.00
SAC,wnd_Nonsh_5,0.00
SAC,wnd_Nonsh_6,0.00
SAC,wnd_Nonsh_7,0.00
SAC,wnd_Nshal_3,0.00
SAC,wnd_Nshal_4,0.00
SAC,wnd_Nshal_5,0.00
SAC,wnd_Nshal_6,0.00
SAC,wnd_Nshal_7,0.00
SAC,wnd_Ndeep_3,0.00
SAC,wnd_Ndeep_4,0.00
SAC,wnd_Ndeep_5,0.00
SAC,wnd_Ndeep_6,0.00
SAC,wnd_Ndeep_7,0.00
ESC,nuc_X,2.56
ESC,hyd_X,0.00
ESC,geo_X,0.00
ESC,bio_X,5.60
ESC,lfg_X,0.00
ESC,msw_X,0.06
ESC,slr_X,0.00
ESC,wnd_X,0.00
ESC,oth_X,3.31
ESC,ps_X,0.00
ESC,col_N,6.87
ESC,col_Nccs,9.05
ESC,ngcc_N,3.11
ESC,ngcc_Nccs,6.45
ESC,ngtb_N,9.87
ESC,nuc_N,2.04
ESC,bio_N,5.00
ESC,fc_N,49.00
ESC,slrPV_N,0.00
ESC,slrCSP_N,0.00
ESC,col_X1,10.83
ESC,col_X2,11.48
ESC,col_X3,11.98
ESC,col_X1bio,0.00
ESC,col_X2bio,0.00
ESC,col_X3bio,0.00
ESC,col_X1ccs,0.00
ESC,col_X2ccs,0.00
ESC,col_X3ccs,0.00
ESC,ngcc_X1,2.27
ESC,ngcc_X2,2.21
ESC,ngcc_X3,2.21
ESC,ngtb_X1,4.79
ESC,ngtb_X2,4.79
ESC,ngtb_X3,4.79
ESC,stog_X1,0.00
ESC,stog_X2,0.00
ESC,stog_X3,0.00
ESC,lfg_N_hi,8.33
ESC,lfg_N_lo,8.33
