region,unit,vintage,time,value
NEG,hyd_X,2025,2075,0.00
NEG,hyd_X,2030,2010,0.00
NEG,hyd_X,2030,2015,0.00
NEG,hyd_X,2030,2020,0.00
NEG,hyd_X,2030,2025,0.00
NEG,hyd_X,2030,2030,0.00
NEG,hyd_X,2030,2035,0.00
NEG,hyd_X,2030,2040,0.00
NEG,hyd_X,2030,2045,0.00
NEG,hyd_X,2030,2050,0.00
NEG,hyd_X,2030,2075,0.00
NEG,hyd_X,2035,2010,0.00
NEG,hyd_X,2035,2015,0.00
NEG,hyd_X,2035,2020,0.00
NEG,hyd_X,2035,2025,0.00
NEG,hyd_X,2035,2030,0.00
NEG,hyd_X,2035,2035,0.00
NEG,hyd_X,2035,2040,0.00
NEG,hyd_X,2035,2045,0.00
NEG,hyd_X,2035,2050,0.00
NEG,hyd_X,2035,2075,0.00
NEG,hyd_X,2040,2010,0.00
NEG,hyd_X,2040,2015,0.00
NEG,hyd_X,2040,2020,0.00
NEG,hyd_X,2040,2025,0.00
NEG,hyd_X,2040,2030,0.00
NEG,hyd_X,2040,2035,0.00
NEG,hyd_X,2040,2040,0.00
NEG,hyd_X,2040,2045,0.00
NEG,hyd_X,2040,2050,0.00
NEG,hyd_X,2040,2075,0.00
NEG,hyd_X,2045,2010,0.00
NEG,hyd_X,2045,2015,0.00
NEG,hyd_X,2045,2020,0.00
NEG,hyd_X,2045,2025,0.00
NEG,hyd_X,2045,2030,0.00
NEG,hyd_X,2045,2035,0.00
NEG,hyd_X,2045,2040,0.00
NEG,hyd_X,2045,2045,0.00
NEG,hyd_X,2045,2050,0.00
NEG,hyd_X,2045,2075,0.00
NEG,hyd_X,2050,2010,0.00
NEG,hyd_X,2050,2015,0.00
NEG,hyd_X,2050,2020,0.00
NEG,hyd_X,2050,2025,0.00
NEG,hyd_X,2050,2030,0.00
NEG,hyd_X,2050,2035,0.00
NEG,hyd_X,2050,2040,0.00
NEG,hyd_X,2050,2045,0.00
NEG,hyd_X,2050,2050,0.00
NEG,hyd_X,2050,2075,0.00
NEG,hyd_X,2075,2010,0.00
NEG,hyd_X,2075,2015,0.00
NEG,hyd_X,2075,2020,0.00
NEG,hyd_X,2075,2025,0.00
NEG,hyd_X,2075,2030,0.00
NEG,hyd_X,2075,2035,0.00
NEG,hyd_X,2075,2040,0.00
NEG,hyd_X,2075,2045,0.00
NEG,hyd_X,2075,2050,0.00
NEG,hyd_X,2075,2075,0.00
NEG,geo_X,2010,2010,0.00
NEG,geo_X,2010,2015,0.00
NEG,geo_X,2010,2020,0.00
NEG,geo_X,2010,2025,0.00
NEG,geo_X,2010,2030,0.00
NEG,geo_X,2010,2035,0.00
NEG,geo_X,2010,2040,0.00
NEG,geo_X,2010,2045,0.00
NEG,geo_X,2010,2050,0.00
NEG,geo_X,2010,2075,0.00
NEG,geo_X,2015,2010,0.00
NEG,geo_X,2015,2015,0.00
NEG,geo_X,2015,2020,0.00
NEG,geo_X,2015,2025,0.00
NEG,geo_X,2015,2030,0.00
NEG,geo_X,2015,2035,0.00
NEG,geo_X,2015,2040,0.00
NEG,geo_X,2015,2045,0.00
NEG,geo_X,2015,2050,0.00
NEG,geo_X,2015,2075,0.00
NEG,geo_X,2020,2010,0.00
NEG,geo_X,2020,2015,0.00
NEG,geo_X,2020,2020,0.00
NEG,geo_X,2020,2025,0.00
NEG,geo_X,2020,2030,0.00
NEG,geo_X,2020,2035,0.00
NEG,geo_X,2020,2040,0.00
NEG,geo_X,2020,2045,0.00
NEG,geo_X,2020,2050,0.00
NEG,geo_X,2020,2075,0.00
NEG,geo_X,2025,2010,0.00
NEG,geo_X,2025,2015,0.00
NEG,geo_X,2025,2020,0.00
NEG,geo_X,2025,2025,0.00
NEG,geo_X,2025,2030,0.00
NEG,geo_X,2025,2035,0.00
NEG,geo_X,2025,2040,0.00
NEG,geo_X,2025,2045,0.00
NEG,geo_X,2025,2050,0.00
NEG,geo_X,2025,2075,0.00
NEG,geo_X,2030,2010,0.00
NEG,geo_X,2030,2015,0.00
NEG,geo_X,2030,2020,0.00
NEG,geo_X,2030,2025,0.00
NEG,geo_X,2030,2030,0.00
NEG,geo_X,2030,2035,0.00
NEG,geo_X,2030,2040,0.00
NEG,geo_X,2030,2045,0.00
NEG,geo_X,2030,2050,0.00
NEG,geo_X,2030,2075,0.00
NEG,geo_X,2035,2010,0.00
NEG,geo_X,2035,2015,0.00
NEG,geo_X,2035,2020,0.00
NEG,geo_X,2035,2025,0.00
NEG,geo_X,2035,2030,0.00
NEG,geo_X,2035,2035,0.00
NEG,geo_X,2035,2040,0.00
NEG,geo_X,2035,2045,0.00
NEG,geo_X,2035,2050,0.00
NEG,geo_X,2035,2075,0.00
NEG,geo_X,2040,2010,0.00
NEG,geo_X,2040,2015,0.00
NEG,geo_X,2040,2020,0.00
NEG,geo_X,2040,2025,0.00
NEG,geo_X,2040,2030,0.00
NEG,geo_X,2040,2035,0.00
NEG,geo_X,2040,2040,0.00
NEG,geo_X,2040,2045,0.00
NEG,geo_X,2040,2050,0.00
NEG,geo_X,2040,2075,0.00
NEG,geo_X,2045,2010,0.00
NEG,geo_X,2045,2015,0.00
NEG,geo_X,2045,2020,0.00
NEG,geo_X,2045,2025,0.00
NEG,geo_X,2045,2030,0.00
NEG,geo_X,2045,2035,0.00
NEG,geo_X,2045,2040,0.00
NEG,geo_X,2045,2045,0.00
NEG,geo_X,2045,2050,0.00
NEG,geo_X,2045,2075,0.00
NEG,geo_X,2050,2010,0.00
NEG,geo_X,2050,2015,0.00
NEG,geo_X,2050,2020,0.00
NEG,geo_X,2050,2025,0.00
NEG,geo_X,2050,2030,0.00
NEG,geo_X,2050,2035,0.00
NEG,geo_X,2050,2040,0.00
NEG,geo_X,2050,2045,0.00
NEG,geo_X,2050,2050,0.00
NEG,geo_X,2050,2075,0.00
NEG,geo_X,2075,2010,0.00
NEG,geo_X,2075,2015,0.00
NEG,geo_X,2075,2020,0.00
NEG,geo_X,2075,2025,0.00
NEG,geo_X,2075,2030,0.00
NEG,geo_X,2075,2035,0.00
NEG,geo_X,2075,2040,0.00
NEG,geo_X,2075,2045,0.00
NEG,geo_X,2075,2050,0.00
NEG,geo_X,2075,2075,0.00
NEG,bio_X,2010,2010,0.53
NEG,bio_X,2010,2015,0.53
NEG,bio_X,2010,2020,0.53
NEG,bio_X,2010,2025,0.53
NEG,bio_X,2010,2030,0.53
NEG,bio_X,2010,2035,0.53
NEG,bio_X,2010,2040,0.53
NEG,bio_X,2010,2045,0.53
NEG,bio_X,2010,2050,0.53
NEG,bio_X,2010,2075,0.00
NEG,bio_X,2015,2010,0.00
NEG,bio_X,2015,2015,0.00
NEG,bio_X,2015,2020,0.00
NEG,bio_X,2015,2025,0.00
NEG,bio_X,2015,2030,0.00
NEG,bio_X,2015,2035,0.00
NEG,bio_X,2015,2040,0.00
NEG,bio_X,2015,2045,0.00
NEG,bio_X,2015,2050,0.00
NEG,bio_X,2015,2075,0.00
NEG,bio_X,2020,2010,0.00
NEG,bio_X,2020,2015,0.00
NEG,bio_X,2020,2020,0.00
NEG,bio_X,2020,2025,0.00
NEG,bio_X,2020,2030,0.00
NEG,bio_X,2020,2035,0.00
NEG,bio_X,2020,2040,0.00
NEG,bio_X,2020,2045,0.00
NEG,bio_X,2020,2050,0.00
NEG,bio_X,2020,2075,0.00
NEG,bio_X,2025,2010,0.00
NEG,bio_X,2025,2015,0.00
NEG,bio_X,2025,2020,0.00
NEG,bio_X,2025,2025,0.00
NEG,bio_X,2025,2030,0.00
NEG,bio_X,2025,2035,0.00
NEG,bio_X,2025,2040,0.00
NEG,bio_X,2025,2045,0.00
NEG,bio_X,2025,2050,0.00
NEG,bio_X,2025,2075,0.00
NEG,bio_X,2030,2010,0.00
NEG,bio_X,2030,2015,0.00
NEG,bio_X,2030,2020,0.00
NEG,bio_X,2030,2025,0.00
NEG,bio_X,2030,2030,0.00
NEG,bio_X,2030,2035,0.00
NEG,bio_X,2030,2040,0.00
NEG,bio_X,2030,2045,0.00
NEG,bio_X,2030,2050,0.00
NEG,bio_X,2030,2075,0.00
NEG,bio_X,2035,2010,0.00
NEG,bio_X,2035,2015,0.00
NEG,bio_X,2035,2020,0.00
NEG,bio_X,2035,2025,0.00
NEG,bio_X,2035,2030,0.00
NEG,bio_X,2035,2035,0.00
NEG,bio_X,2035,2040,0.00
NEG,bio_X,2035,2045,0.00
NEG,bio_X,2035,2050,0.00
NEG,bio_X,2035,2075,0.00
NEG,bio_X,2040,2010,0.00
NEG,bio_X,2040,2015,0.00
NEG,bio_X,2040,2020,0.00
NEG,bio_X,2040,2025,0.00
NEG,bio_X,2040,2030,0.00
NEG,bio_X,2040,2035,0.00
NEG,bio_X,2040,2040,0.00
NEG,bio_X,2040,2045,0.00
NEG,bio_X,2040,2050,0.00
NEG,bio_X,2040,2075,0.00
NEG,bio_X,2045,2010,0.00
NEG,bio_X,2045,2015,0.00
NEG,bio_X,2045,2020,0.00
NEG,bio_X,2045,2025,0.00
NEG,bio_X,2045,2030,0.00
NEG,bio_X,2045,2035,0.00
NEG,bio_X,2045,2040,0.00
NEG,bio_X,2045,2045,0.00
NEG,bio_X,2045,2050,0.00
NEG,bio_X,2045,2075,0.00
NEG,bio_X,2050,2010,0.00
NEG,bio_X,2050,2015,0.00
NEG,bio_X,2050,2020,0.00
NEG,bio_X,2050,2025,0.00
NEG,bio_X,2050,2030,0.00
NEG,bio_X,2050,2035,0.00
NEG,bio_X,2050,2040,0.00
NEG,bio_X,2050,2045,0.00
NEG,bio_X,2050,2050,0.00
NEG,bio_X,2050,2075,0.00
NEG,bio_X,2075,2010,0.00
NEG,bio_X,2075,2015,0.00
NEG,bio_X,2075,2020,0.00
NEG,bio_X,2075,2025,0.00
NEG,bio_X,2075,2030,0.00
NEG,bio_X,2075,2035,0.00
NEG,bio_X,2075,2040,0.00
NEG,bio_X,2075,2045,0.00
NEG,bio_X,2075,2050,0.00
NEG,bio_X,2075,2075,0.00
NEG,lfg_X,2010,2010,0.07
NEG,lfg_X,2010,2015,0.07
NEG,lfg_X,2010,2020,0.07
NEG,lfg_X,2010,2025,0.07
NEG,lfg_X,2010,2030,0.07
NEG,lfg_X,2010,2035,0.07
NEG,lfg_X,2010,2040,0.07
NEG,lfg_X,2010,2045,0.07
NEG,lfg_X,2010,2050,0.07
NEG,lfg_X,2010,2075,0.07
NEG,lfg_X,2015,2010,0.00
NEG,lfg_X,2015,2015,0.00
NEG,lfg_X,2015,2020,0.00
NEG,lfg_X,2015,2025,0.00
NEG,lfg_X,2015,2030,0.00
NEG,lfg_X,2015,2035,0.00
NEG,lfg_X,2015,2040,0.00
NEG,lfg_X,2015,2045,0.00
NEG,lfg_X,2015,2050,0.00
NEG,lfg_X,2015,2075,0.00
NEG,lfg_X,2020,2010,0.00
NEG,lfg_X,2020,2015,0.00
NEG,lfg_X,2020,2020,0.00
NEG,lfg_X,2020,2025,0.00
NEG,lfg_X,2020,2030,0.00
NEG,lfg_X,2020,2035,0.00
NEG,lfg_X,2020,2040,0.00
NEG,lfg_X,2020,2045,0.00
NEG,lfg_X,2020,2050,0.00
NEG,lfg_X,2020,2075,0.00
NEG,lfg_X,2025,2010,0.00
NEG,lfg_X,2025,2015,0.00
NEG,lfg_X,2025,2020,0.00
NEG,lfg_X,2025,2025,0.00
NEG,lfg_X,2025,2030,0.00
NEG,lfg_X,2025,2035,0.00
NEG,lfg_X,2025,2040,0.00
NEG,lfg_X,2025,2045,0.00
NEG,lfg_X,2025,2050,0.00
NEG,lfg_X,2025,2075,0.00
NEG,lfg_X,2030,2010,0.00
NEG,lfg_X,2030,2015,0.00
NEG,lfg_X,2030,2020,0.00
NEG,lfg_X,2030,2025,0.00
NEG,lfg_X,2030,2030,0.00
NEG,lfg_X,2030,2035,0.00
NEG,lfg_X,2030,2040,0.00
NEG,lfg_X,2030,2045,0.00
NEG,lfg_X,2030,2050,0.00
NEG,lfg_X,2030,2075,0.00
NEG,lfg_X,2035,2010,0.00
NEG,lfg_X,2035,2015,0.00
NEG,lfg_X,2035,2020,0.00
NEG,lfg_X,2035,2025,0.00
NEG,lfg_X,2035,2030,0.00
NEG,lfg_X,2035,2035,0.00
NEG,lfg_X,2035,2040,0.00
NEG,lfg_X,2035,2045,0.00
NEG,lfg_X,2035,2050,0.00
NEG,lfg_X,2035,2075,0.00
NEG,lfg_X,2040,2010,0.00
NEG,lfg_X,2040,2015,0.00
NEG,lfg_X,2040,2020,0.00
NEG,lfg_X,2040,2025,0.00
NEG,lfg_X,2040,2030,0.00
NEG,lfg_X,2040,2035,0.00
NEG,lfg_X,2040,2040,0.00
NEG,lfg_X,2040,2045,0.00
NEG,lfg_X,2040,2050,0.00
NEG,lfg_X,2040,2075,0.00
NEG,lfg_X,2045,2010,0.00
NEG,lfg_X,2045,2015,0.00
NEG,lfg_X,2045,2020,0.00
NEG,lfg_X,2045,2025,0.00
NEG,lfg_X,2045,2030,0.00
NEG,lfg_X,2045,2035,0.00
NEG,lfg_X,2045,2040,0.00
NEG,lfg_X,2045,2045,0.00
NEG,lfg_X,2045,2050,0.00
NEG,lfg_X,2045,2075,0.00
NEG,lfg_X,2050,2010,0.00
NEG,lfg_X,2050,2015,0.00
NEG,lfg_X,2050,2020,0.00
NEG,lfg_X,2050,2025,0.00
NEG,lfg_X,2050,2030,0.00
NEG,lfg_X,2050,2035,0.00
NEG,lfg_X,2050,2040,0.00
NEG,lfg_X,2050,2045,0.00
NEG,lfg_X,2050,2050,0.00
NEG,lfg_X,2050,2075,0.00
NEG,lfg_X,2075,2010,0.00
NEG,lfg_X,2075,2015,0.00
NEG,lfg_X,2075,2020,0.00
NEG,lfg_X,2075,2025,0.00
NEG,lfg_X,2075,2030,0.00
NEG,lfg_X,2075,2035,0.00
NEG,lfg_X,2075,2040,0.00
NEG,lfg_X,2075,2045,0.00
NEG,lfg_X,2075,2050,0.00
NEG,lfg_X,2075,2075,0.00
NEG,msw_X,2010,2010,0.47
NEG,msw_X,2010,2015,0.47
NEG,msw_X,2010,2020,0.47
NEG,msw_X,2010,2025,0.47
NEG,msw_X,2010,2030,0.47
NEG,msw_X,2010,2035,0.47
NEG,msw_X,2010,2040,0.47
NEG,msw_X,2010,2045,0.47
NEG,msw_X,2010,2050,0.47
NEG,msw_X,2010,2075,0.47
NEG,msw_X,2015,2010,0.00
NEG,msw_X,2015,2015,0.00
NEG,msw_X,2015,2020,0.00
NEG,msw_X,2015,2025,0.00
NEG,msw_X,2015,2030,0.00
NEG,msw_X,2015,2035,0.00
NEG,msw_X,2015,2040,0.00
NEG,msw_X,2015,2045,0.00
NEG,msw_X,2015,2050,0.00
NEG,msw_X,2015,2075,0.00
NEG,msw_X,2020,2010,0.00
NEG,msw_X,2020,2015,0.00
NEG,msw_X,2020,2020,0.00
NEG,msw_X,2020,2025,0.00
NEG,msw_X,2020,2030,0.00
NEG,msw_X,2020,2035,0.00
NEG,msw_X,2020,2040,0.00
NEG,msw_X,2020,2045,0.00
NEG,msw_X,2020,2050,0.00
NEG,msw_X,2020,2075,0.00
NEG,msw_X,2025,2010,0.00
NEG,msw_X,2025,2015,0.00
NEG,msw_X,2025,2020,0.00
NEG,msw_X,2025,2025,0.00
NEG,msw_X,2025,2030,0.00
NEG,msw_X,2025,2035,0.00
NEG,msw_X,2025,2040,0.00
NEG,msw_X,2025,2045,0.00
NEG,msw_X,2025,2050,0.00
NEG,msw_X,2025,2075,0.00
NEG,msw_X,2030,2010,0.00
NEG,msw_X,2030,2015,0.00
NEG,msw_X,2030,2020,0.00
NEG,msw_X,2030,2025,0.00
NEG,msw_X,2030,2030,0.00
NEG,msw_X,2030,2035,0.00
NEG,msw_X,2030,2040,0.00
NEG,msw_X,2030,2045,0.00
NEG,msw_X,2030,2050,0.00
NEG,msw_X,2030,2075,0.00
NEG,msw_X,2035,2010,0.00
NEG,msw_X,2035,2015,0.00
NEG,msw_X,2035,2020,0.00
NEG,msw_X,2035,2025,0.00
NEG,msw_X,2035,2030,0.00
NEG,msw_X,2035,2035,0.00
NEG,msw_X,2035,2040,0.00
NEG,msw_X,2035,2045,0.00
NEG,msw_X,2035,2050,0.00
NEG,msw_X,2035,2075,0.00
NEG,msw_X,2040,2010,0.00
NEG,msw_X,2040,2015,0.00
NEG,msw_X,2040,2020,0.00
NEG,msw_X,2040,2025,0.00
NEG,msw_X,2040,2030,0.00
NEG,msw_X,2040,2035,0.00
NEG,msw_X,2040,2040,0.00
NEG,msw_X,2040,2045,0.00
NEG,msw_X,2040,2050,0.00
NEG,msw_X,2040,2075,0.00
NEG,msw_X,2045,2010,0.00
NEG,msw_X,2045,2015,0.00
NEG,msw_X,2045,2020,0.00
NEG,msw_X,2045,2025,0.00
NEG,msw_X,2045,2030,0.00
NEG,msw_X,2045,2035,0.00
NEG,msw_X,2045,2040,0.00
NEG,msw_X,2045,2045,0.00
NEG,msw_X,2045,2050,0.00
NEG,msw_X,2045,2075,0.00
NEG,msw_X,2050,2010,0.00
NEG,msw_X,2050,2015,0.00
NEG,msw_X,2050,2020,0.00
NEG,msw_X,2050,2025,0.00
NEG,msw_X,2050,2030,0.00
NEG,msw_X,2050,2035,0.00
NEG,msw_X,2050,2040,0.00
NEG,msw_X,2050,2045,0.00
NEG,msw_X,2050,2050,0.00
NEG,msw_X,2050,2075,0.00
NEG,msw_X,2075,2010,0.00
NEG,msw_X,2075,2015,0.00
NEG,msw_X,2075,2020,0.00
NEG,msw_X,2075,2025,0.00
NEG,msw_X,2075,2030,0.00
NEG,msw_X,2075,2035,0.00
NEG,msw_X,2075,2040,0.00
NEG,msw_X,2075,2045,0.00
NEG,msw_X,2075,2050,0.00
NEG,msw_X,2075,2075,0.00
NEG,slr_X,2010,2010,0.00
NEG,slr_X,2010,2015,0.00
NEG,slr_X,2010,2020,0.00
NEG,slr_X,2010,2025,0.00
NEG,slr_X,2010,2030,0.00
NEG,slr_X,2010,2035,0.00
NEG,slr_X,2010,2040,0.00
NEG,slr_X,2010,2045,0.00
NEG,slr_X,2010,2050,0.00
NEG,slr_X,2010,2075,0.00
NEG,slr_X,2015,2010,0.00
NEG,slr_X,2015,2015,0.00
NEG,slr_X,2015,2020,0.00
NEG,slr_X,2015,2025,0.00
NEG,slr_X,2015,2030,0.00
NEG,slr_X,2015,2035,0.00
NEG,slr_X,2015,2040,0.00
NEG,slr_X,2015,2045,0.00
NEG,slr_X,2015,2050,0.00
NEG,slr_X,2015,2075,0.00
NEG,slr_X,2020,2010,0.00
NEG,slr_X,2020,2015,0.00
NEG,slr_X,2020,2020,0.00
NEG,slr_X,2020,2025,0.00
NEG,slr_X,2020,2030,0.00
NEG,slr_X,2020,2035,0.00
NEG,slr_X,2020,2040,0.00
NEG,slr_X,2020,2045,0.00
NEG,slr_X,2020,2050,0.00
NEG,slr_X,2020,2075,0.00
NEG,slr_X,2025,2010,0.00
NEG,slr_X,2025,2015,0.00
NEG,slr_X,2025,2020,0.00
NEG,slr_X,2025,2025,0.00
NEG,slr_X,2025,2030,0.00
NEG,slr_X,2025,2035,0.00
NEG,slr_X,2025,2040,0.00
NEG,slr_X,2025,2045,0.00
NEG,slr_X,2025,2050,0.00
NEG,slr_X,2025,2075,0.00
NEG,slr_X,2030,2010,0.00
NEG,slr_X,2030,2015,0.00
NEG,slr_X,2030,2020,0.00
NEG,slr_X,2030,2025,0.00
NEG,slr_X,2030,2030,0.00
NEG,slr_X,2030,2035,0.00
NEG,slr_X,2030,2040,0.00
NEG,slr_X,2030,2045,0.00
NEG,slr_X,2030,2050,0.00
NEG,slr_X,2030,2075,0.00
NEG,slr_X,2035,2010,0.00
NEG,slr_X,2035,2015,0.00
NEG,slr_X,2035,2020,0.00
NEG,slr_X,2035,2025,0.00
NEG,slr_X,2035,2030,0.00
NEG,slr_X,2035,2035,0.00
NEG,slr_X,2035,2040,0.00
NEG,slr_X,2035,2045,0.00
NEG,slr_X,2035,2050,0.00
NEG,slr_X,2035,2075,0.00
NEG,slr_X,2040,2010,0.00
NEG,slr_X,2040,2015,0.00
NEG,slr_X,2040,2020,0.00
NEG,slr_X,2040,2025,0.00
NEG,slr_X,2040,2030,0.00
NEG,slr_X,2040,2035,0.00
NEG,slr_X,2040,2040,0.00
NEG,slr_X,2040,2045,0.00
NEG,slr_X,2040,2050,0.00
NEG,slr_X,2040,2075,0.00
NEG,slr_X,2045,2010,0.00
NEG,slr_X,2045,2015,0.00
NEG,slr_X,2045,2020,0.00
NEG,slr_X,2045,2025,0.00
NEG,slr_X,2045,2030,0.00
NEG,slr_X,2045,2035,0.00
NEG,slr_X,2045,2040,0.00
NEG,slr_X,2045,2045,0.00
NEG,slr_X,2045,2050,0.00
NEG,slr_X,2045,2075,0.00
NEG,slr_X,2050,2010,0.00
NEG,slr_X,2050,2015,0.00
NEG,slr_X,2050,2020,0.00
NEG,slr_X,2050,2025,0.00
NEG,slr_X,2050,2030,0.00
NEG,slr_X,2050,2035,0.00
NEG,slr_X,2050,2040,0.00
NEG,slr_X,2050,2045,0.00
NEG,slr_X,2050,2050,0.00
NEG,slr_X,2050,2075,0.00
NEG,slr_X,2075,2010,0.00
NEG,slr_X,2075,2015,0.00
NEG,slr_X,2075,2020,0.00
NEG,slr_X,2075,2025,0.00
NEG,slr_X,2075,2030,0.00
NEG,slr_X,2075,2035,0.00
NEG,slr_X,2075,2040,0.00
NEG,slr_X,2075,2045,0.00
NEG,slr_X,2075,2050,0.00
NEG,slr_X,2075,2075,0.00
NEG,wnd_X,2010,2010,0.61
NEG,wnd_X,2010,2015,0.61
NEG,wnd_X,2010,2020,0.61
NEG,wnd_X,2010,2025,0.61
NEG,wnd_X,2010,2030,0.61
NEG,wnd_X,2010,2035,0.61
NEG,wnd_X,2010,2040,0.61
NEG,wnd_X,2010,2045,0.61
NEG,wnd_X,2010,2050,0.61
NEG,wnd_X,2010,2075,0.61
NEG,wnd_X,2015,2010,0.00
NEG,wnd_X,2015,2015,0.00
NEG,wnd_X,2015,2020,0.00
NEG,wnd_X,2015,2025,0.00
NEG,wnd_X,2015,2030,0.00
NEG,wnd_X,2015,2035,0.00
NEG,wnd_X,2015,2040,0.00
NEG,wnd_X,2015,2045,0.00
