"region","unit","status","plant_type","renewable","time","generation","vomcost","variable_cost","capacity","fomcost","fixed_cost","total_cost","wholesale_cost"
"CA","bio_X","existing","bio","yes",2020,3.42875927801,5.46055979999637,18.722945077366,0.6654,136.69336811052,90.95576714074,109.678712218106,22.75531441
"CA","col_X1","existing","col","no",2020,0.87390604,3.25490807917245,2.8444838300336,0.2284,78.8817952116462,18.01660202634,20.8610858563736,22.75531441
"CA","col_X2","existing","col","no",2020,0,0,0,0.0029,0,0,0,NA
"CA","col_X3","existing","col","no",2020,1.83746821799,3.41100084558802,6.267605645305,5.5129,74.9864649879374,413.392882832,419.660488477305,22.75531441
"CA","geo_X","existing","geo","yes",2020,10.914107,0,0,2.7284,155.811743458071,425.116760851,425.116760851,22.75531441
"CA","hyd_X","existing","hyd","yes",2020,38.35476869,0,0,9.8416,92.361101576512,908.9810172754,908.9810172754,22.75531441
"CA","msw_X","existing","msw","no",2020,0.31354351,2.22797920001597,0.69856841858,0.0596,2.84563679966443,0.16959995326,0.86816837184,22.75531441
"CA","ngcc_X1","existing","ngcc","no",2020,69.668007257046,2.26836875271374,158.032730725717,21.7369,13.4526060127653,292.417951638879,450.450682364596,22.75531441
"CA","ngcc_X2","existing","ngcc","no",2020,1.345810000001,2.22043529797578,2.988284028371,0.4257,13.8882277879023,5.91221856931,8.900502597681,22.75531441
"CA","ngcc_X3","existing","ngcc","no",2020,0.0102430000002,2.24769557791179,0.023023145805,0.2028,17.7072850996055,3.5910374182,3.614060564005,22.75531441
"CA","ngtb_X1","existing","ngtb","no",2020,13.934771458,4.79067973903673,66.7570272919479,8.2231,11.5481187854057,94.9613355842697,161.718362876218,22.75531441
"CA","ngtb_X2","existing","ngtb","no",2020,1.55564198,4.79349571125897,7.45696315938441,3.6985,11.3864847821714,42.112913966861,49.5698771262454,22.75531441
"CA","ngtb_X3","existing","ngtb","no",2020,0.44988126,4.78914778294539,2.15454783891768,1.5515,14.849680540058,23.0392793579,25.1938271968177,22.75531441
