load_segment,region,year,value
"peak","PAC","2020",182.278671421713
"avg","NEG","2020",34.8122208785099
"avg","NY","2020",32.2578069288677
"avg","MID","2020",31.4221289925238
"avg","ENC","2020",31.8409765347235
"avg","WNC","2020",30.2651808267754
"avg","FL","2020",33.6742416341246
"avg","SAC","2020",31.8656839005657
"avg","ESC","2020",31.3391520307057
"avg","TX","2020",26.0995102703802
"avg","WSC","2020",27.758290572242
"avg","MTN","2020",32.6379898375778
"avg","CA","2020",33.2750245976754
"avg","PAC","2020",32.5870503924501
"avg","USA","2020",31.0900478408625
