region,unit,value
ENC,ngcc_Nccs,30.25
ENC,ngtb_N,6.70
ENC,nuc_N,88.75
ENC,bio_N,100.50
ENC,fc_N,5.78
ENC,slrPV_N,16.70
ENC,slrCSP_N,64.00
ENC,col_X1,97.43
ENC,col_X2,85.03
ENC,col_X3,83.43
ENC,col_X1bio,0.00
ENC,col_X2bio,0.00
ENC,col_X3bio,0.00
ENC,col_X1ccs,0.00
ENC,col_X2ccs,0.00
ENC,col_X3ccs,0.00
ENC,ngcc_X1,12.83
ENC,ngcc_X2,0.00
ENC,ngcc_X3,12.84
ENC,ngtb_X1,11.38
ENC,ngtb_X2,12.18
ENC,ngtb_X3,14.29
ENC,stog_X1,0.00
ENC,stog_X2,0.00
ENC,stog_X3,0.00
ENC,lfg_N_hi,373.76
ENC,lfg_N_lo,373.76
ENC,lfg_N_vl,373.76
ENC,geo_N_1,0.00
ENC,geo_N_2,0.00
ENC,geo_N_3,0.00
ENC,geo_N_4,0.00
ENC,geo_N_5,0.00
ENC,geo_N_6,0.00
ENC,geo_N_7,0.00
ENC,geo_N_8,0.00
ENC,geo_N_9,0.00
ENC,geo_N_10,0.00
ENC,wnd_Nonsh_3,28.07
ENC,wnd_Nonsh_4,28.07
ENC,wnd_Nonsh_5,28.07
ENC,wnd_Nonsh_6,28.07
ENC,wnd_Nonsh_7,28.07
ENC,wnd_Nshal_3,53.33
ENC,wnd_Nshal_4,53.33
ENC,wnd_Nshal_5,53.33
ENC,wnd_Nshal_6,53.33
ENC,wnd_Nshal_7,53.33
ENC,wnd_Ndeep_3,53.33
ENC,wnd_Ndeep_4,53.33
ENC,wnd_Ndeep_5,53.33
ENC,wnd_Ndeep_6,53.33
ENC,wnd_Ndeep_7,53.33
WNC,nuc_X,131.24
WNC,hyd_X,92.69
WNC,geo_X,0.00
WNC,bio_X,172.35
WNC,lfg_X,0.00
WNC,msw_X,2.25
WNC,slr_X,20.64
WNC,wnd_X,47.65
WNC,oth_X,12.21
WNC,ps_X,0.00
WNC,col_N,48.90
WNC,col_Nccs,63.21
WNC,ngcc_N,14.62
WNC,ngcc_Nccs,30.25
WNC,ngtb_N,6.70
WNC,nuc_N,88.75
WNC,bio_N,100.50
WNC,fc_N,5.78
WNC,slrPV_N,16.70
WNC,slrCSP_N,64.00
WNC,col_X1,75.87
WNC,col_X2,72.05
WNC,col_X3,77.33
WNC,col_X1bio,0.00
WNC,col_X2bio,0.00
WNC,col_X3bio,0.00
WNC,col_X1ccs,0.00
WNC,col_X2ccs,0.00
WNC,col_X3ccs,0.00
WNC,ngcc_X1,12.85
WNC,ngcc_X2,0.00
WNC,ngcc_X3,19.07
WNC,ngtb_X1,12.99
WNC,ngtb_X2,13.94
WNC,ngtb_X3,17.38
WNC,stog_X1,0.00
WNC,stog_X2,0.00
WNC,stog_X3,0.00
WNC,lfg_N_hi,373.76
WNC,lfg_N_lo,373.76
WNC,lfg_N_vl,373.76
WNC,geo_N_1,185.10
WNC,geo_N_2,0.00
WNC,geo_N_3,0.00
WNC,geo_N_4,0.00
WNC,geo_N_5,0.00
WNC,geo_N_6,0.00
WNC,geo_N_7,0.00
WNC,geo_N_8,0.00
WNC,geo_N_9,0.00
WNC,geo_N_10,0.00
WNC,wnd_Nonsh_3,28.07
WNC,wnd_Nonsh_4,28.07
WNC,wnd_Nonsh_5,28.07
WNC,wnd_Nonsh_6,28.07
WNC,wnd_Nonsh_7,28.07
WNC,wnd_Nshal_3,53.33
WNC,wnd_Nshal_4,53.33
WNC,wnd_Nshal_5,53.33
WNC,wnd_Nshal_6,53.33
WNC,wnd_Nshal_7,53.33
WNC,wnd_Ndeep_3,53.33
WNC,wnd_Ndeep_4,53.33
WNC,wnd_Ndeep_5,53.33
WNC,wnd_Ndeep_6,53.33
WNC,wnd_Ndeep_7,53.33
FL,nuc_X,131.24
FL,hyd_X,92.69
FL,geo_X,0.00
FL,bio_X,224.95
FL,lfg_X,0.00
FL,msw_X,9.59
FL,slr_X,36.43
FL,wnd_X,0.00
FL,oth_X,52.43
FL,ps_X,0.00
FL,col_N,48.90
FL,col_Nccs,63.21
FL,ngcc_N,14.62
FL,ngcc_Nccs,30.25
FL,ngtb_N,6.70
FL,nuc_N,88.75
FL,bio_N,100.50
FL,fc_N,5.78
FL,slrPV_N,16.70
FL,slrCSP_N,64.00
FL,col_X1,82.29
FL,col_X2,104.52
FL,col_X3,97.73
FL,col_X1bio,0.00
FL,col_X2bio,0.00
FL,col_X3bio,0.00
FL,col_X1ccs,0.00
FL,col_X2ccs,0.00
FL,col_X3ccs,0.00
FL,ngcc_X1,12.68
FL,ngcc_X2,12.67
FL,ngcc_X3,32.47
FL,ngtb_X1,11.05
FL,ngtb_X2,11.57
FL,ngtb_X3,16.12
FL,stog_X1,0.00
FL,stog_X2,0.00
FL,stog_X3,0.00
FL,lfg_N_hi,373.76
FL,lfg_N_lo,373.76
FL,lfg_N_vl,373.76
FL,geo_N_1,0.00
FL,geo_N_2,0.00
FL,geo_N_3,0.00
FL,geo_N_4,0.00
FL,geo_N_5,0.00
FL,geo_N_6,0.00
FL,geo_N_7,0.00
FL,geo_N_8,0.00
FL,geo_N_9,0.00
FL,geo_N_10,0.00
FL,wnd_Nonsh_3,28.07
FL,wnd_Nonsh_4,28.07
FL,wnd_Nonsh_5,28.07
FL,wnd_Nonsh_6,28.07
FL,wnd_Nonsh_7,28.07
FL,wnd_Nshal_3,53.33
FL,wnd_Nshal_4,53.33
FL,wnd_Nshal_5,53.33
FL,wnd_Nshal_6,53.33
FL,wnd_Nshal_7,53.33
FL,wnd_Ndeep_3,53.33
FL,wnd_Ndeep_4,53.33
FL,wnd_Ndeep_5,53.33
FL,wnd_Ndeep_6,53.33
FL,wnd_Ndeep_7,53.33
SAC,nuc_X,131.24
SAC,hyd_X,92.13
SAC,geo_X,0.00
SAC,bio_X,210.34
SAC,lfg_X,0.00
SAC,msw_X,10.21
SAC,slr_X,20.69
SAC,wnd_X,47.65
SAC,oth_X,9.20
SAC,ps_X,0.00
SAC,col_N,48.90
SAC,col_Nccs,63.21
SAC,ngcc_N,14.62
SAC,ngcc_Nccs,30.25
SAC,ngtb_N,6.70
SAC,nuc_N,88.75
SAC,bio_N,100.50
SAC,fc_N,5.78
SAC,slrPV_N,16.70
SAC,slrCSP_N,64.00
SAC,col_X1,80.34
SAC,col_X2,67.52
SAC,col_X3,110.36
SAC,col_X1bio,0.00
SAC,col_X2bio,0.00
SAC,col_X3bio,0.00
SAC,col_X1ccs,0.00
SAC,col_X2ccs,0.00
SAC,col_X3ccs,0.00
SAC,ngcc_X1,12.83
SAC,ngcc_X2,12.67
SAC,ngcc_X3,38.15
SAC,ngtb_X1,11.77
SAC,ngtb_X2,12.07
SAC,ngtb_X3,16.51
SAC,stog_X1,0.00
SAC,stog_X2,0.00
SAC,stog_X3,0.00
SAC,lfg_N_hi,373.76
SAC,lfg_N_lo,373.76
SAC,lfg_N_vl,373.76
SAC,geo_N_1,0.00
SAC,geo_N_2,0.00
SAC,geo_N_3,0.00
SAC,geo_N_4,0.00
SAC,geo_N_5,0.00
SAC,geo_N_6,0.00
SAC,geo_N_7,0.00
SAC,geo_N_8,0.00
SAC,geo_N_9,0.00
SAC,geo_N_10,0.00
SAC,wnd_Nonsh_3,28.07
SAC,wnd_Nonsh_4,28.07
SAC,wnd_Nonsh_5,28.07
SAC,wnd_Nonsh_6,28.07
SAC,wnd_Nonsh_7,28.07
SAC,wnd_Nshal_3,53.33
SAC,wnd_Nshal_4,53.33
SAC,wnd_Nshal_5,53.33
SAC,wnd_Nshal_6,53.33
SAC,wnd_Nshal_7,53.33
SAC,wnd_Ndeep_3,53.33
SAC,wnd_Ndeep_4,53.33
SAC,wnd_Ndeep_5,53.33
SAC,wnd_Ndeep_6,53.33
SAC,wnd_Ndeep_7,53.33
ESC,nuc_X,131.24
ESC,hyd_X,91.97
ESC,geo_X,0.00
ESC,bio_X,262.18
ESC,lfg_X,0.00
ESC,msw_X,0.99
ESC,slr_X,20.69
ESC,wnd_X,47.65
ESC,oth_X,1.72
ESC,ps_X,0.00
ESC,col_N,48.90
ESC,col_Nccs,63.21
ESC,ngcc_N,14.62
ESC,ngcc_Nccs,30.25
ESC,ngtb_N,6.70
ESC,nuc_N,88.75
ESC,bio_N,100.50
