region,unit,load_segment,vintage,time,value
NEG,col_N,wntr_day,2020,2020,0.00
NEG,col_N,wntr_mrnevn,2020,2020,0.00
NEG,col_N,wntr_night,2020,2020,0.00
NEG,col_N,peak,2020,2020,0.00
NEG,col_Nccs,sum_day,2020,2020,0.00
NEG,col_Nccs,sum_mrnevn,2020,2020,0.00
NEG,col_Nccs,sum_night,2020,2020,0.00
NEG,col_Nccs,sprfl_day,2020,2020,0.00
NEG,col_Nccs,sprfl_mrnevn,2020,2020,0.00
NEG,col_Nccs,sprfl_night,2020,2020,0.00
NEG,col_Nccs,wntr_day,2020,2020,0.00
NEG,col_Nccs,wntr_mrnevn,2020,2020,0.00
NEG,col_Nccs,wntr_night,2020,2020,0.00
NEG,col_Nccs,peak,2020,2020,0.00
NEG,ngcc_N,sum_day,2020,2020,0.00
NEG,ngcc_N,sum_mrnevn,2020,2020,0.00
NEG,ngcc_N,sum_night,2020,2020,0.00
NEG,ngcc_N,sprfl_day,2020,2020,0.00
NEG,ngcc_N,sprfl_mrnevn,2020,2020,0.00
NEG,ngcc_N,sprfl_night,2020,2020,0.00
NEG,ngcc_N,wntr_day,2020,2020,0.00
NEG,ngcc_N,wntr_mrnevn,2020,2020,0.00
NEG,ngcc_N,wntr_night,2020,2020,0.00
NEG,ngcc_N,peak,2020,2020,0.00
NEG,ngcc_Nccs,sum_day,2020,2020,0.00
NEG,ngcc_Nccs,sum_mrnevn,2020,2020,0.00
NEG,ngcc_Nccs,sum_night,2020,2020,0.00
NEG,ngcc_Nccs,sprfl_day,2020,2020,0.00
NEG,ngcc_Nccs,sprfl_mrnevn,2020,2020,0.00
NEG,ngcc_Nccs,sprfl_night,2020,2020,0.00
NEG,ngcc_Nccs,wntr_day,2020,2020,0.00
NEG,ngcc_Nccs,wntr_mrnevn,2020,2020,0.00
NEG,ngcc_Nccs,wntr_night,2020,2020,0.00
NEG,ngcc_Nccs,peak,2020,2020,0.00
NEG,ngtb_N,sum_day,2020,2020,0.00
NEG,ngtb_N,sum_mrnevn,2020,2020,0.00
NEG,ngtb_N,sum_night,2020,2020,0.00
NEG,ngtb_N,sprfl_day,2020,2020,0.00
NEG,ngtb_N,sprfl_mrnevn,2020,2020,0.00
NEG,ngtb_N,sprfl_night,2020,2020,0.00
NEG,ngtb_N,wntr_day,2020,2020,0.00
NEG,ngtb_N,wntr_mrnevn,2020,2020,0.00
NEG,ngtb_N,wntr_night,2020,2020,0.00
NEG,ngtb_N,peak,2020,2020,0.00
NEG,nuc_N,sum_day,2020,2020,0.00
NEG,nuc_N,sum_mrnevn,2020,2020,0.00
NEG,nuc_N,sum_night,2020,2020,0.00
NEG,nuc_N,sprfl_day,2020,2020,0.00
NEG,nuc_N,sprfl_mrnevn,2020,2020,0.00
NEG,nuc_N,sprfl_night,2020,2020,0.00
NEG,nuc_N,wntr_day,2020,2020,0.00
NEG,nuc_N,wntr_mrnevn,2020,2020,0.00
NEG,nuc_N,wntr_night,2020,2020,0.00
NEG,nuc_N,peak,2020,2020,0.00
NEG,bio_N,sum_day,2020,2020,0.00
NEG,bio_N,sum_mrnevn,2020,2020,0.00
NEG,bio_N,sum_night,2020,2020,0.00
NEG,bio_N,sprfl_day,2020,2020,0.00
NEG,bio_N,sprfl_mrnevn,2020,2020,0.00
NEG,bio_N,sprfl_night,2020,2020,0.00
NEG,bio_N,wntr_day,2020,2020,0.00
NEG,bio_N,wntr_mrnevn,2020,2020,0.00
NEG,bio_N,wntr_night,2020,2020,0.00
NEG,bio_N,peak,2020,2020,0.00
NEG,fc_N,sum_day,2020,2020,0.00
NEG,fc_N,sum_mrnevn,2020,2020,0.00
NEG,fc_N,sum_night,2020,2020,0.00
NEG,fc_N,sprfl_day,2020,2020,0.00
NEG,fc_N,sprfl_mrnevn,2020,2020,0.00
NEG,fc_N,sprfl_night,2020,2020,0.00
NEG,fc_N,wntr_day,2020,2020,0.00
NEG,fc_N,wntr_mrnevn,2020,2020,0.00
NEG,fc_N,wntr_night,2020,2020,0.00
NEG,fc_N,peak,2020,2020,0.00
NEG,slrPV_N,sum_day,2020,2020,0.00
NEG,slrPV_N,sum_mrnevn,2020,2020,0.00
NEG,slrPV_N,sum_night,2020,2020,0.00
NEG,slrPV_N,sprfl_day,2020,2020,0.00
NEG,slrPV_N,sprfl_mrnevn,2020,2020,0.00
NEG,slrPV_N,sprfl_night,2020,2020,0.00
NEG,slrPV_N,wntr_day,2020,2020,0.00
NEG,slrPV_N,wntr_mrnevn,2020,2020,0.00
NEG,slrPV_N,wntr_night,2020,2020,0.00
NEG,slrPV_N,peak,2020,2020,0.00
NEG,slrCSP_N,sum_day,2020,2020,0.00
NEG,slrCSP_N,sum_mrnevn,2020,2020,0.00
NEG,slrCSP_N,sum_night,2020,2020,0.00
NEG,slrCSP_N,sprfl_day,2020,2020,0.00
NEG,slrCSP_N,sprfl_mrnevn,2020,2020,0.00
NEG,slrCSP_N,sprfl_night,2020,2020,0.00
NEG,slrCSP_N,wntr_day,2020,2020,0.00
NEG,slrCSP_N,wntr_mrnevn,2020,2020,0.00
NEG,slrCSP_N,wntr_night,2020,2020,0.00
NEG,slrCSP_N,peak,2020,2020,0.00
NEG,col_X1,sum_day,2020,2020,0.57
NEG,col_X1,sum_mrnevn,2020,2020,0.43
NEG,col_X1,sum_night,2020,2020,0.27
NEG,col_X1,sprfl_day,2020,2020,0.24
NEG,col_X1,sprfl_mrnevn,2020,2020,0.33
NEG,col_X1,sprfl_night,2020,2020,0.15
NEG,col_X1,wntr_day,2020,2020,0.32
NEG,col_X1,wntr_mrnevn,2020,2020,0.44
NEG,col_X1,wntr_night,2020,2020,0.20
NEG,col_X1,peak,2020,2020,0.03
NEG,col_X2,sum_day,2020,2020,0.00
